Record Count,Loaded to Repository,Year,Management Group,Total Biomass (mt),Eastern Biomass (mt),Eastern Fraction,Western Biomass (mt),Western Fraction
1,2021-09-29 10:30:18,2007,OROXT4,15281.9,13614.4,0.890883986938797,1667.5,0.109116013061203
1,2021-09-29 10:30:18,2009,OROXM005,8923.5,8437.5,0.94553706505295,486,0.05446293494705
1,2021-09-29 10:30:18,2009,OROXM006,4793,4313,0.899853953682454,480,0.100146046317546
1,2021-09-29 10:30:18,2009,OROXM007,4248.7,4248.7,1,0,0
1,2021-09-29 10:30:18,2009,OROXM0092,1714.5,1527.3,0.890813648293963,187.2,0.109186351706037
1,2021-09-29 10:30:18,2009,OROXM01,1629.8,1629.8,1,0,0
1,2021-09-29 10:30:18,2009,OROXT4,11536,11328.3,0.981995492371706,207.7,0.018004507628294
1,2021-09-29 10:30:18,2011,OROXM005,76697.8,73803.5,0.962263585135428,2894.3,0.037736414864572
1,2021-09-29 10:30:18,2011,OROXM006,3995.9,3435.9,0.859856352761581,560,0.140143647238419
1,2021-09-29 10:30:18,2011,OROXM007,8424.7,8419.3,0.999359027621162,5.4,0.000640972378838
1,2021-09-29 10:30:18,2011,OROXM0092,483,17,0.0351966873706,466,0.964803312629399
1,2021-09-29 10:30:18,2011,OROXM01,20974.1,20545.3,0.979555737790894,428.8,0.020444262209105
1,2021-09-29 10:30:18,2011,OROXT4,6946.6,2498.6,0.359686753231797,4448,0.640313246768203
1,2021-09-29 10:30:18,2013,OROXM005,19892.2,14105.9,0.709117141392104,5786.3,0.290882858607897
1,2021-09-29 10:30:18,2013,OROXM006,4201,3019.2,0.718686027136396,1181.8,0.281313972863604
1,2021-09-29 10:30:18,2013,OROXM007,4634.2,4602.7,0.993202710284407,31.5,0.006797289715593
1,2021-09-29 10:30:18,2013,OROXM0092,697.2,349.3,0.501004016064257,347.9,0.498995983935743
1,2021-09-29 10:30:18,2013,OROXM01,1263.6,533.1,0.421889838556505,730.5,0.578110161443495
1,2021-09-29 10:30:18,2013,OROXT4,12380.3,6192.4,0.500181740345549,6187.9,0.499818259654451
1,2021-09-29 10:30:18,2015,OROXM005,46002,45600.6,0.991274292422069,401.4,0.008725707577931
1,2021-09-29 10:30:18,2015,OROXM006,4663.1,3941.5,0.845253157770582,721.6,0.154746842229418
1,2021-09-29 10:30:18,2015,OROXM007,1038.7,1038.7,1,0,0
1,2021-09-29 10:30:18,2015,OROXM0092,421.2,421.2,1,0,0
1,2021-09-29 10:30:18,2015,OROXM01,5332.7,4884.2,0.915896262681193,448.5,0.084103737318807
1,2021-09-29 10:30:18,2015,OROXT4,35561.2,34785.7,0.978192524436746,775.5,0.021807475563254
1,2021-09-29 10:30:18,2017,OROXM005,34775,34341.3,0.987528396836808,433.7,0.012471603163192
1,2021-09-29 10:30:18,2017,OROXM006,7366.7,6851.4,0.930050090271085,515.3,0.069949909728915
1,2021-09-29 10:30:18,2017,OROXM007,2408.9,2307.3,0.957823072771805,101.6,0.042176927228195
1,2021-09-29 10:30:18,2017,OROXM0092,51,35.2,0.690196078431373,15.8,0.309803921568627
1,2021-09-29 10:30:18,2017,OROXM01,16405.7,16337.3,0.99583071737262,68.4,0.00416928262738
