"YEAR","WTM"
1987,0.0909184104697681
1990,0.0854164340795437
1993,0.0804590127524686
1996,0.0748547723362621
1999,0.0656253847270761
2001,0.0656733271149562
2003,0.0598983193158872
2005,0.0706986666456327
2007,0.0653217368459545
2009,0.0624602460381534
2011,0.0596390385558075
2013,0.0673977301075634
2015,0.0642202435494253
2017,0.0731180245143903
2019,0.0700287386333605
2021,0.0550551523193301
